colonna_a,colonna_b,via,zona,numeri,citta,nome_completo
"VIA","","BUOZZI BRUNO","22","15; 19","SAN MINIATO","VIA  BUOZZI BRUNO"
"VIA","","BUOZZI BRUNO","8 - B","TUTTI TRANNE 15-19","SAN MINIATO","VIA  BUOZZI BRUNO"
"VIALE","","BUOZZI BRUNO","2 - B","TUTTI","SANTA CROCE SULL'ARNO","VIALE  BUOZZI BRUNO"
"VIA DEI","DEI","BURRONI","8 - A","TUTTI","SAN MINIATO","VIA DEI BURRONI"
"VIA","","BUSONI FERRUCCIO","8 - A","TUTTI","SAN MINIATO","VIA  BUSONI FERRUCCIO"
"LARGO","","BUSONI FERRUCCIO","1 - A","TUTTI","SANTA CROCE SULL'ARNO","LARGO  BUSONI FERRUCCIO"
"LARGO","","CABOTO SEBASTIANO","21","TUTTI","SANTA CROCE SULL'ARNO","LARGO  CABOTO SEBASTIANO"
"VIA","","CADUTI ARMA DEI CARABINIERI","3 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  CADUTI ARMA DEI CARABINIERI"
"VIA","","CADUTI DEI LAGER","18 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  CADUTI DEI LAGER"
"PIAZZA","","CADUTI DELLA LIBERTA'","5 - A","TUTTI","CASTELFRANCO DI SOTTO","PIAZZA  CADUTI DELLA LIBERTA'"
"VIA","","CADUTI DI CEFALONIA","9 - A","TUTTI","SAN MINIATO","VIA  CADUTI DI CEFALONIA"
"LARGO","","CADUTI DI NASSIRIYA","2 - B","TUTTI","SANTA CROCE SULL'ARNO","LARGO  CADUTI DI NASSIRIYA"
"PIAZZA","","CADUTI DI TUTTE LE GUERRE","15 - B","TUTTI","SANTA MARIA A MONTE","PIAZZA  CADUTI DI TUTTE LE GUERRE"
"VIA","","CADUTI SUL LAVORO","3 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  CADUTI SUL LAVORO"
"VIA","","CAFAGGIO","19 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  CAFAGGIO"
"VIA","","CAFAGGIO","14 - B","TUTTI","SAN MINIATO","VIA  CAFAGGIO"
"VIA","","CALABRIA","18 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  CALABRIA"
"VIA","","CALABRIA","3 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  CALABRIA"
"VIA","","CALAMANDREI PIERO","10 - A","TUTTI","SAN MINIATO","VIA  CALAMANDREI PIERO"
"VIA","","CALATAFIMI","5 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  CALATAFIMI"
"VIA","","CALATAFIMI","11 - B","TUTTI","SAN MINIATO","VIA  CALATAFIMI"
"VIA","","CALENZANO","14 - B","TUTTI","SAN MINIATO","VIA  CALENZANO"
"VIA","","CALLETTE","15 - B","TUTTI","SANTA MARIA A MONTE","VIA  CALLETTE"
"VIA","","CALVINO ITALO","18 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  CALVINO ITALO"
"VIA","","CALVINO ITALO","3 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  CALVINO ITALO"
"VIA DE'","DE'","CALZOLARI","6 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA DE' CALZOLARI"
"VIA DELLE","DELLE","CAMELIE","13 - A","TUTTI","SAN MINIATO","VIA DELLE CAMELIE"
"VIA","","CAMERINI","6 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  CAMERINI"
"VIA","","CAMPANIA","18 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  CAMPANIA"
"VIA","","CAMPANIA","10 - A","TUTTI","SAN MINIATO","VIA  CAMPANIA"
"VIA","","CAMPANIA","3 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  CAMPANIA"
"VIA DEI","DEI","CAMPI ALTI","6 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA DEI CAMPI ALTI"
"VIA DEL","DEL","CAMPO SPORTIVO","7 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA DEL CAMPO SPORTIVO"
"VIA","","CAMPOFRANCO","15 - A","TUTTI","SANTA MARIA A MONTE","VIA  CAMPOFRANCO"
"VIA","","CAMPRIANO","14 - B","TUTTI","SAN MINIATO","VIA  CAMPRIANO"
"VIA DELLA","DELLA","CANALA","3 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA DELLA CANALA"
"VIA","","CANDIANO","11 - A","TUTTI","SAN MINIATO","VIA  CANDIANO"
"VIA","","CANOVA ANTONIO","5 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  CANOVA ANTONIO"
"VIA","","CANSANI SILVANO","2 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  CANSANI SILVANO"
"VIA DI","DI","CAPANNE","19 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DI CAPANNE"
"VIA","","CAPANNE","16 - B","TUTTI","SANTA MARIA A MONTE","VIA  CAPANNE"
"VIA","","CAPANNOLI","17 - A","TUTTI","SANTA MARIA A MONTE","VIA  CAPANNOLI"
"VIA","","CAPILATO","17 - A","DAL 2 AL 4","SANTA MARIA A MONTE","VIA  CAPILATO"
"VIA","","CAPILATO","16 - B","DAL 6 AL 8","SANTA MARIA A MONTE","VIA  CAPILATO"
"VIA","","CAPIROZZOLO","19 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  CAPIROZZOLO"
"VIA","","CAPITINI ALDO","11 - A","DAL 11 AL 27","SAN MINIATO","VIA  CAPITINI ALDO"
"VIA","","CAPITINI ALDO","12 - A","375, DAL  350 AL 844","SAN MINIATO","VIA  CAPITINI ALDO"
"VIA","","CAPO CAVALLO","13 - A","TUTTI","SAN MINIATO","VIA  CAPO CAVALLO"
"PIAZZA","","CAPOQUADRI CESARE","13 - A","TUTTI","SAN MINIATO","PIAZZA  CAPOQUADRI CESARE"
"VIA","","CAPPELLETTO","16 - B","TUTTI","SANTA MARIA A MONTE","VIA  CAPPELLETTO"
"PIAZZA","","CAPPONI GINO","20 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","PIAZZA  CAPPONI GINO"
"VIA","","CAPPONI GINO","11 - A","TUTTI","SAN MINIATO","VIA  CAPPONI GINO"
"VIA","","CAPUANA LUIGI","12 - A","TUTTI","SAN MINIATO","VIA  CAPUANA LUIGI"
"VIA","","CARAVAGGIO","20 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  CARAVAGGIO"
"VIA","","CARAVAGGIO","8 - B","TUTTI","SAN MINIATO","VIA  CARAVAGGIO"
"VIA","","CARAVAGGIO","1 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  CARAVAGGIO"
"PIAZZA","","CARDI LUDOVICO","10 - B","TUTTI","SAN MINIATO","PIAZZA  CARDI LUDOVICO"
"VIA","","CARDUCCI GIOSUE'","5 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  CARDUCCI GIOSUE'"
"VIA","","CARDUCCI GIOSUE'","19 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  CARDUCCI GIOSUE'"
"VIA","","CARDUCCI GIOSUE'","11 - B","TUTTI","SAN MINIATO","VIA  CARDUCCI GIOSUE'"
"VIA","","CARDUCCI GIOSUE'","1 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  CARDUCCI GIOSUE'"
"VIA","","CARDUCCI GIOSUE'","17 - A","TUTTI","SANTA MARIA A MONTE","VIA  CARDUCCI GIOSUE'"
"VIA","","CARLI SPARTACO","9 - A","TUTTI","SAN MINIATO","VIA  CARLI SPARTACO"
"LARGO","","CARLO ALBERTO","5 - B","TUTTI","CASTELFRANCO DI SOTTO","LARGO  CARLO ALBERTO"
"VIA","","CARMIGNANO","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  CARMIGNANO"
"VIA DE'","DE'","CARRAI","6 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA DE' CARRAI"
"VIA","","CASALE","14 - B","TUTTI","SAN MINIATO","VIA  CASALE"
"VIA","","CASCINA LARI","22","TUTTI","SAN MINIATO","VIA  CASCINA LARI"
"VIA DELLA","DELLA","CASINA","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DELLA CASINA"
"CORTE ALLE","ALLE","CASINAIE","1 - B","TUTTI","SANTA CROCE SULL'ARNO","CORTE ALLE CASINAIE"
"VIA DELLE","DELLE","CASINE","11 - B","TUTTI","SAN MINIATO","VIA DELLE CASINE"
"VIA","","CASINO","15 - A","TUTTI","SANTA MARIA A MONTE","VIA  CASINO"
"VIA","","CASONI","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  CASONI"
"VIA DEL","DEL","CASTAGNO","6 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA DEL CASTAGNO"
"VIA","","CASTELFIORENTINO","14 - B","TUTTI","SAN MINIATO","VIA  CASTELFIORENTINO"
"VIA DEL","DEL","CASTELLARE","1 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA DEL CASTELLARE"
"PIAZZA","","CASTELLO","22","TUTTI","SAN MINIATO","PIAZZA  CASTELLO"
"VIA","","CASTELLO","14 - A","TUTTI","SAN MINIATO","VIA  CASTELLO"
"VIA","","CASTELLONCHIO","10 - B","TUTTI","SAN MINIATO","VIA  CASTELLONCHIO"
"VIA","","CATENA","11 - B","TUTTI","SAN MINIATO","VIA  CATENA"
