colonna_a,colonna_b,via,zona,numeri,citta,nome_completo
"VIA","","MARCELLO BENEDETTO","8 - A","TUTTI","SAN MINIATO","VIA  MARCELLO BENEDETTO"
"VIA","","MARCHE","2 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  MARCHE"
"VIA","","MARCHESI CONCETTO","10 - A","TUTTI","SAN MINIATO","VIA  MARCHESI CONCETTO"
"VIA","","MARCHESI CONCETTO","2 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  MARCHESI CONCETTO"
"VIA","","MARCHETTI","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  MARCHETTI"
"PIAZZA","","MARCONI","17 - A","TUTTI","SANTA MARIA A MONTE","PIAZZA  MARCONI"
"VIA","","MARCONI GUGLIELMO","5 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  MARCONI GUGLIELMO"
"PIAZZA","","MARCONI GUGLIELMO","19 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","PIAZZA  MARCONI GUGLIELMO"
"VIALE","","MARCONI GUGLIELMO","11 - A","TUTTI","SAN MINIATO","VIALE  MARCONI GUGLIELMO"
"VIA","","MARCONI GUGLIELMO","2 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  MARCONI GUGLIELMO"
"VIA","","MARCONI GUGLIELMO","17 - B","TUTTI","SANTA MARIA A MONTE","VIA  MARCONI GUGLIELMO"
"VIA","","MAREMMANA","14 - A","TUTTI","SAN MINIATO","VIA  MAREMMANA"
"PIAZZA","","MARIANELLI MARIANELLO","8 - B","TUTTI","SAN MINIATO","PIAZZA  MARIANELLI MARIANELLO"
"VIA","","MARIANI","16 - B","TUTTI","SANTA MARIA A MONTE","VIA  MARIANI"
"PIAZZA","","MARINAI SISTO","15 - A","TUTTI","SANTA MARIA A MONTE","PIAZZA  MARINAI SISTO"
"VIA","","MARRACCIO","16 - B","TUTTI","SANTA MARIA A MONTE","VIA  MARRACCIO"
"VIA","","MARRUCCHI","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  MARRUCCHI"
"VIA","","MARTELLI CARLO","18 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  MARTELLI CARLO"
"VIA","","MARTIRI DELLA LIBERTA'","7 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  MARTIRI DELLA LIBERTA'"
"VIA","","MARTIRI DELLA LIBERTA'","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  MARTIRI DELLA LIBERTA'"
"VIA","","MARTIRI DELLA RESISTENZA","20 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  MARTIRI DELLA RESISTENZA"
"PIAZZA","","MARTIRI DELL'INTIFADA","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","PIAZZA  MARTIRI DELL'INTIFADA"
"VIA","","MARTIRI DI BELFIORE","11 - A","TUTTI","SAN MINIATO","VIA  MARTIRI DI BELFIORE"
"VIA","","MARX CARLO","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  MARX CARLO"
"VIA","","MARZABOTTO","3 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  MARZABOTTO"
"VIA","","MARZANA","11 - B","1 E DAL 2 AL 12","SAN MINIATO","VIA  MARZANA"
"VIA","","MARZANA","14 - B","DAL 3 AL 11 E DAL 16 AL 26","SAN MINIATO","VIA  MARZANA"
"VIA","","MASACCIO","9 - A","TUTTI","SAN MINIATO","VIA  MASACCIO"
"VIA","","MASCAGNI PIETRO","5 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  MASCAGNI PIETRO"
"VIA","","MASCAGNI PIETRO","8 - A","TUTTI","SAN MINIATO","VIA  MASCAGNI PIETRO"
"VIA","","MASCAGNI PIETRO","3 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  MASCAGNI PIETRO"
"VIA","","MASINI ASCANIO","3 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  MASINI ASCANIO"
"VIA","","MASORIA","18 - A","1 E DAL 2 AL 4","MONTOPOLI IN VAL D'ARNO","VIA  MASORIA"
"VIA","","MASORIA","19 - A","DAL 6 AL 40","MONTOPOLI IN VAL D'ARNO","VIA  MASORIA"
"VIA","","MASSAUA","14 - A","TUTTI","SAN MINIATO","VIA  MASSAUA"
"VIA","","MATTEI ENRICO","6 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  MATTEI ENRICO"
"VIA","","MATTEI ENRICO","19 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  MATTEI ENRICO"
"PIAZZA","","MATTEOTTI","7 - B","TUTTI","CASTELFRANCO DI SOTTO","PIAZZA  MATTEOTTI"
"VIA","","MATTEOTTI","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  MATTEOTTI"
"VIA","","MATTEOTTI GIACOMO","18 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  MATTEOTTI GIACOMO"
"VIALE","","MATTEOTTI GIACOMO","12 - B","TUTTI","SAN MINIATO","VIALE  MATTEOTTI GIACOMO"
"PIAZZA","","MATTEOTTI GIACOMO","1 - B","TUTTI","SANTA CROCE SULL'ARNO","PIAZZA  MATTEOTTI GIACOMO"
"VIA","","MAZZANA","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  MAZZANA"
"VIA","","MAZZINI","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  MAZZINI"
"PIAZZA","","MAZZINI GIUSEPPE","6 - B","TUTTI","CASTELFRANCO DI SOTTO","PIAZZA  MAZZINI GIUSEPPE"
"VIA","","MAZZINI GIUSEPPE","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  MAZZINI GIUSEPPE"
"CORSO","","MAZZINI GIUSEPPE","1 - B","TUTTI","SANTA CROCE SULL'ARNO","CORSO  MAZZINI GIUSEPPE"
"VIA","","MAZZINI GIUSEPPE","17 - B","TUTTI","SANTA MARIA A MONTE","VIA  MAZZINI GIUSEPPE"
"VIA DEL","DEL","MELACCIO","3 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA DEL MELACCIO"
"VIA","","MELETO","14 - B","TUTTI","SAN MINIATO","VIA  MELETO"
"VIA","","MELLICCIANO","14 - B","TUTTI","SAN MINIATO","VIA  MELLICCIANO"
"VIA","","MELONE","15 - A","DAL 1 AL 73 E DAL 2 AL 78","SANTA MARIA A MONTE","VIA  MELONE"
"VIA","","MELONE","16 - A","DAL 75 AL 209 E DAL 82 AL 150","SANTA MARIA A MONTE","VIA  MELONE"
"VIA","","MENABUOI","3 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  MENABUOI"
"VIA","","MENDES CHICO","10 - A","TUTTI","SAN MINIATO","VIA  MENDES CHICO"
"VIA","","MENGRANO","14 - B","SNC","SAN MINIATO","VIA  MENGRANO"
"VIA","","MENICHETTI SELENE","4 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  MENICHETTI SELENE"
"VILLA","","MENICUCCI","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VILLA  MENICUCCI"
"VIA","","MENOTTI CIRO","9 - A","TUTTI","SAN MINIATO","VIA  MENOTTI CIRO"
"PIAZZA","","MENTANA","5 - B","TUTTI","CASTELFRANCO DI SOTTO","PIAZZA  MENTANA"
"VIA","","MERCADANTE GIUSEPPE SAVERIO","8 - A","TUTTI","SAN MINIATO","VIA  MERCADANTE GIUSEPPE SAVERIO"
"LARGO DEL","DEL","MESCIOLO","2 - A","TUTTI","SANTA CROCE SULL'ARNO","LARGO DEL MESCIOLO"
"VIA","","METASTASIO PIETRO","11 - A","TUTTI","SAN MINIATO","VIA  METASTASIO PIETRO"
"VIA","","MEUCCI ANTONIO","19 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  MEUCCI ANTONIO"
"VIA","","MEUCCI ANTONIO","11 - A","TUTTI","SAN MINIATO","VIA  MEUCCI ANTONIO"
"VIALE","","MEUCCI ANTONIO","3 - A","TUTTI","SANTA CROCE SULL'ARNO","VIALE  MEUCCI ANTONIO"
"VIA DI","DI","MEZZO","17 - A","TUTTI","SANTA MARIA A MONTE","VIA DI MEZZO"
"VIA","","MEZZOPIANO","14 - B","TUTTI","SAN MINIATO","VIA  MEZZOPIANO"
"VIA","","MICHELANGELO","20 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  MICHELANGELO"
"VIA","","MICHELANGELO","2 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  MICHELANGELO"
"VIA","","MILANI DON LORENZO","1 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  MILANI DON LORENZO"
"VIA","","MILANO","19 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  MILANO"
"VIA","","MILANO","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  MILANO"
"VIA DEI","DEI","MILLE","5 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA DEI MILLE"
"VIA DEI","DEI","MILLE","22","1; 3","SAN MINIATO","VIA DEI MILLE"
"VIA DEI","DEI","MILLE","11 - A","31","SAN MINIATO","VIA DEI MILLE"
"VIA DEI","DEI","MILLE","3 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA DEI MILLE"
"VIA DEI","DEI","MILLE","15 - B","TUTTI","SANTA MARIA A MONTE","VIA DEI MILLE"
"VIA","","MISERICORDIA","17 - A","TUTTI","SANTA MARIA A MONTE","VIA  MISERICORDIA"
"VIA","","MODIGLIANI AMEDEO","1 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  MODIGLIANI AMEDEO"
"VIA DEL","DEL","MOLINO","20 - B","DAL 3 AL 33 E DAL 2 AL 14","MONTOPOLI IN VAL D'ARNO","VIA DEL MOLINO"
"VIA DEL","DEL","MOLINO","19 - A","16","MONTOPOLI IN VAL D'ARNO","VIA DEL MOLINO"
"VIA","","MOLINO DEL CALLONE","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  MOLINO DEL CALLONE"
"VIA","","MOLISE","18 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  MOLISE"
"VICOLO","","MOLISE","3 - A","TUTTI","SANTA CROCE SULL'ARNO","VICOLO  MOLISE"
"PIAZZA","","MONACO LORENZO","20 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","PIAZZA  MONACO LORENZO"
"VIA","","MONTALE EUGENIO","6 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  MONTALE EUGENIO"
"VIA","","MONTALE EUGENIO","13 - B","TUTTI","SAN MINIATO","VIA  MONTALE EUGENIO"
"VIA","","MONTALTO","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  MONTALTO"
"VIA","","MONTANELLI","10 - B","TUTTI","SAN MINIATO","VIA  MONTANELLI"
"VIA PRIVATA","","MONTANELLI VITTORIO","3 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA PRIVATA  MONTANELLI VITTORIO"
"VIA","","MONTANILE","19 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  MONTANILE"
"VIA","","MONTE BICCHIERI","9 - B","TUTTI","SAN MINIATO","VIA  MONTE BICCHIERI"
"VIA","","MONTEBERI","15 - A","TUTTI","SANTA MARIA A MONTE","VIA  MONTEBERI"
"VIA","","MONTEBICCHIERI","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  MONTEBICCHIERI"
"VIA","","MONTEGRAPPA","14 - B","TUTTI","SAN MINIATO","VIA  MONTEGRAPPA"
"VIA","","MONTENASO","9 - B","TUTTI","SAN MINIATO","VIA  MONTENASO"
"VIA","","MONTESSORI MARIA","6 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  MONTESSORI MARIA"
"VIA","","MONTESSORI MARIA","11 - A","TUTTI","SAN MINIATO","VIA  MONTESSORI MARIA"
"VIA","","MONTEVERDI CLAUDIO","8 - A","TUTTI","SAN MINIATO","VIA  MONTEVERDI CLAUDIO"
"VIA DI","DI","MONTOPOLI","18 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DI MONTOPOLI"
"VIA","","MONTORZO","14 - B","TUTTI","SAN MINIATO","VIA  MONTORZO"
"VIA","","MORANDI GIORGIO","2 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  MORANDI GIORGIO"
"VIA","","MORANDI RODOLFO","7 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  MORANDI RODOLFO"
"VIA","","MORANTE ELSA","11 - A","TUTTI","SAN MINIATO","VIA  MORANTE ELSA"
"VIA","","MORANTE ELSA","3 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  MORANTE ELSA"
"VIA","","MORO ALDO","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  MORO ALDO"
"VIA","","MORO ALDO","19 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  MORO ALDO"
"VIA","","MORO ALDO","12 - B","TUTTI","SAN MINIATO","VIA  MORO ALDO"
"VIA DEL","DEL","MULINACCIO","18 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DEL MULINACCIO"
"VIA DEL","DEL","MULINO","13 - B","TUTTI","SAN MINIATO","VIA DEL MULINO"
"VIA VECCHIA DEL","DEL","MULINO","8 - B","TUTTI","SAN MINIATO","VIA VECCHIA DEL MULINO"
"VIA","","MULINO DI TURO","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  MULINO DI TURO"
"VIA","","MURRI ROMOLO","9 - A","TUTTI","SAN MINIATO","VIA  MURRI ROMOLO"
"VIA","","MUSCIANELLO","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  MUSCIANELLO"
"VIA","","MUSCIANO","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  MUSCIANO"
"VIA","","NAPOLI","19 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  NAPOLI"
"VIA","","NAPOLI","13 - B","TUTTI","SAN MINIATO","VIA  NAPOLI"
"VIA","","NAPRAIA","19 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  NAPRAIA"
"VIA DELLA","DELLA","NAVE","13 - B","TUTTI","SAN MINIATO","VIA DELLA NAVE"
"VIA DELLA","DELLA","NAVETTA","15 - B","TUTTI","SANTA MARIA A MONTE","VIA DELLA NAVETTA"
"VIA","","NAZIONALE","20 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  NAZIONALE"
"VIA","","NAZIONALE","13 - A","TUTTI","SAN MINIATO","VIA  NAZIONALE"
"VIA DEI","DEI","NENCINI","7 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA DEI NENCINI"
"VIA","","NENNI PIETRO","12 - A","TUTTI","SAN MINIATO","VIA  NENNI PIETRO"
"PIAZZA","","NENNI PIETRO","2 - A","TUTTI","SANTA CROCE SULL'ARNO","PIAZZA  NENNI PIETRO"
"VIA","","NIEVO IPPOLITO","12 - A","TUTTI","SAN MINIATO","VIA  NIEVO IPPOLITO"
"VIA","","NOBILE UMBERTO","22","TUTTI","SAN MINIATO","VIA  NOBILE UMBERTO"
"VIA","","NUTI DON ORESTE","16 - A","TUTTI","SANTA MARIA A MONTE","VIA  NUTI DON ORESTE"
"PIAZZA","","NUVOLARI TAZIO","1 - A","TUTTI","SANTA CROCE SULL'ARNO","PIAZZA  NUVOLARI TAZIO"
"VIA DELL'","DELL'","OASI","20 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DELL' OASI"
"VIA","","OBERDAN GUGLIELMO","10 - A","TUTTI","SAN MINIATO","VIA  OBERDAN GUGLIELMO"
"VIA DELL'","DELL'","OLMO","6 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA DELL' OLMO"
"VIA DELL'","DELL'","OLMO","17 - A","TUTTI","SANTA MARIA A MONTE","VIA DELL' OLMO"
"PIAZZA DELL'","DELL'","OLOCAUSTO","15 - A","SNC","SANTA MARIA A MONTE","PIAZZA DELL' OLOCAUSTO"
"VIA DEGLI","DEGLI","ONTANI","13 - A","DAL 1 AL 17 E DAL 20 AL 42","SAN MINIATO","VIA DEGLI ONTANI"
"VIA","","ONTRAINO","13 - B","DAL 1/A AL 71 E DAL 44 AL 120","SAN MINIATO","VIA  ONTRAINO"
"VIA DELL'","DELL'","OROLOGIO","17 - A","TUTTI","SANTA MARIA A MONTE","VIA DELL' OROLOGIO"
"VIA DEGLI","DEGLI","ORTI","2 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA DEGLI ORTI"
"VIA","","OTTO MARZO","4 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  OTTO MARZO"
"VIA","","OTTO MARZO","1 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  OTTO MARZO"
"VIA DELLA","DELLA","PACE","7 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA DELLA PACE"
"VIA DELLA","DELLA","PACE","18 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DELLA PACE"
"PIAZZALE DELLA","DELLA","PACE","11 - A","TUTTI","SAN MINIATO","PIAZZALE DELLA PACE"
"VIA DELLA","DELLA","PACE","9 - A","TUTTI","SAN MINIATO","VIA DELLA PACE"
"VIA DELLA","DELLA","PACE","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA DELLA PACE"
"LUNGARNO","","PACINOTTI","18 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","LUNGARNO  PACINOTTI"
"VIA","","PACINOTTI ANTONIO","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  PACINOTTI ANTONIO"
"VIA","","PACINOTTI ANTONIO","22","TUTTI","SAN MINIATO","VIA  PACINOTTI ANTONIO"
"VIA","","PACINOTTI ANTONIO","21","TUTTI","SANTA CROCE SULL'ARNO","VIA  PACINOTTI ANTONIO"
"PIAZZA","","PADRE PIO","21","TUTTI","SANTA CROCE SULL'ARNO","PIAZZA  PADRE PIO"
"VIA","","PADULA VINCENZO","9 - A","TUTTI","SAN MINIATO","VIA  PADULA VINCENZO"
"VIA","","PADULETTA","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  PADULETTA"
"VIA","","PAESANTE","10 - B","TUTTI","SAN MINIATO","VIA  PAESANTE"
"VIA","","PAGANINI NICOLO'","8 - A","TUTTI","SAN MINIATO","VIA  PAGANINI NICOLO'"
"VIA","","PAGANO MARIO","13 - A","TUTTI","SAN MINIATO","VIA  PAGANO MARIO"
"VIA","","PAJETTA GIANCARLO","9 - B","TUTTI","SAN MINIATO","VIA  PAJETTA GIANCARLO"
"VIA","","PALAGETTO","13 - B","TUTTI","SAN MINIATO","VIA  PALAGETTO"
"VIA","","PALAGIO","14 - A","TUTTI","SAN MINIATO","VIA  PALAGIO"
"VIA","","PALERMO","20 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  PALERMO"
"VIA","","PALERMO","13 - B","TUTTI","SAN MINIATO","VIA  PALERMO"
"VIA","","PALESTRO","15 - A","TUTTI","SANTA MARIA A MONTE","VIA  PALESTRO"
"PIAZZA","","PANATTONI MARIO","4 - A","TUTTI","SANTA CROCE SULL'ARNO","PIAZZA  PANATTONI MARIO"
"PIAZZA","","PANCOLE","12 - B","TUTTI","SAN MINIATO","PIAZZA  PANCOLE"
"VIA","","PANCOLE","14 - B","1","SAN MINIATO","VIA  PANCOLE"
"VIA","","PANCOLE","12 - B","6","SAN MINIATO","VIA  PANCOLE"
"VIA","","PANIACCIO","16 - A","TUTTI","SANTA MARIA A MONTE","VIA  PANIACCIO"
"VIA","","PANNOCCHIA CORRADO","8 - B","TUTTI","SAN MINIATO","VIA  PANNOCCHIA CORRADO"
"VIA","","PANTANINO","4 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  PANTANINO"
"VICOLO","","PARENTI PIETRO","1 - B","1","SANTA CROCE SULL'ARNO","VICOLO  PARENTI PIETRO"
"VIA","","PARENTI VIRGINIA","6 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  PARENTI VIRGINIA"
"VIA","","PARINI GIUSEPPE","11 - A","TUTTI","SAN MINIATO","VIA  PARINI GIUSEPPE"
"PIAZZA","","PARRETTI DON GIUSEPPE","16 - B","TUTTI","SANTA MARIA A MONTE","PIAZZA  PARRETTI DON GIUSEPPE"
"VIA","","PARRI FERRUCCIO","5 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA  PARRI FERRUCCIO"
"PIAZZA DEI","DEI","PARTIGIANI","2 - B","TUTTI","SANTA CROCE SULL'ARNO","PIAZZA DEI PARTIGIANI"
"VIA","","PARTIGNANA","15 - B","TUTTI","SANTA MARIA A MONTE","VIA  PARTIGNANA"
"VIA","","PASCOLI GIOVANNI","19 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  PASCOLI GIOVANNI"
"VIA","","PASCOLI GIOVANNI","12 - B","TUTTI","SAN MINIATO","VIA  PASCOLI GIOVANNI"
"VIA","","PASCOLI GIOVANNI","1 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  PASCOLI GIOVANNI"
"VIA","","PAVESE CESARE","19 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  PAVESE CESARE"
"VIA","","PAVESE CESARE","3 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  PAVESE CESARE"
"VIA DI","DI","PELLE","3 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA DI PELLE"
"VIA DEI","DEI","PELLEGRINI","7 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA DEI PELLEGRINI"
"VIA","","PELLICO SILVIO","6 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  PELLICO SILVIO"
"VIA","","PELLICO SILVIO","9 - A","TUTTI","SAN MINIATO","VIA  PELLICO SILVIO"
"VIA","","PELOSA","16 - A","TUTTI","SANTA MARIA A MONTE","VIA  PELOSA"
"VIA","","PENTOLINI","17 - A","TUTTI","SANTA MARIA A MONTE","VIA  PENTOLINI"
"VIA","","PEPE GUGLIELMO","9 - A","TUTTI","SAN MINIATO","VIA  PEPE GUGLIELMO"
"VIA","","PERETA","4 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  PERETA"
"VIA","","PERGOLESI GIOVAN BATTISTA","8 - A","TUTTI","SAN MINIATO","VIA  PERGOLESI GIOVAN BATTISTA"
"PIAZZA","","PERTINI","7 - A","TUTTI","CASTELFRANCO DI SOTTO","PIAZZA  PERTINI"
"VIA","","PERTINI SANDRO","4 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  PERTINI SANDRO"
"VIA","","PERTINI SANDRO","18 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  PERTINI SANDRO"
"PIAZZA","","PERTINI SANDRO","11 - A","TUTTI","SAN MINIATO","PIAZZA  PERTINI SANDRO"
"VIA","","PERTINI SANDRO","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  PERTINI SANDRO"
"VIA","","PERUGIA","20 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  PERUGIA"
"VIA DELLA","DELLA","PESA","21","TUTTI","SANTA CROCE SULL'ARNO","VIA DELLA PESA"
"VIA DELLA","DELLA","PESCAIA","19 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DELLA PESCAIA"
"VIA","","PESCO","15 - B","TUTTI","SANTA MARIA A MONTE","VIA  PESCO"
"VIA","","PESTALOZZI ENRICO","22","TUTTI","SAN MINIATO","VIA  PESTALOZZI ENRICO"
"VIA","","PETRARCA","3 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  PETRARCA"
"VIA","","PETRARCA FRANCESCO","5 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  PETRARCA FRANCESCO"
"VIA","","PETRARCA FRANCESCO","11 - A","TUTTI","SAN MINIATO","VIA  PETRARCA FRANCESCO"
"VIA","","PETRIOLO","6 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  PETRIOLO"
"VIA DEI","DEI","PIANALI","18 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DEI PIANALI"
"VIA","","PIANATOIO","3 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  PIANATOIO"
"VIA DEL","DEL","PIANO","18 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA DEL PIANO"
"VIA DEL","DEL","PIANO","12 - A","TUTTI","SAN MINIATO","VIA DEL PIANO"
"VIA","","PIANORE","16 - B","TUTTI","SANTA MARIA A MONTE","VIA  PIANORE"
"VIA","","PIAVE","20 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  PIAVE"
"VIA","","PIAVE","9 - A","TUTTI","SAN MINIATO","VIA  PIAVE"
"PIAZZA","","PICINOLI DON LUIGI","15 - B","TUTTI","SANTA MARIA A MONTE","PIAZZA  PICINOLI DON LUIGI"
"VIA","","PIE' DI MONTE","4 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  PIE' DI MONTE"
"VIA","","PIEMONTE","18 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  PIEMONTE"
"VIA","","PIEMONTE","9 - B","TUTTI","SAN MINIATO","VIA  PIEMONTE"
"VIA","","PIEMONTE","3 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  PIEMONTE"
"VIA","","PIERACCETTI","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  PIERACCETTI"
"VIA","","PIERACCIONI","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  PIERACCIONI"
"VIA","","PIETRONE","15 - A","TUTTI","SANTA MARIA A MONTE","VIA  PIETRONE"
"PIAZZA DELLA","DELLA","PIEVE","19 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","PIAZZA DELLA PIEVE"
"VIA","","PIEVE","14 - A","TUTTI","SAN MINIATO","VIA  PIEVE"
"VIA","","PILERNO","14 - B","TUTTI","SAN MINIATO","VIA  PILERNO"
"VIA","","PINETA","19 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  PINETA"
"VIA DELLE","DELLE","PINETE","9 - B","TUTTI","SAN MINIATO","VIA DELLE PINETE"
"VIA DELLE","DELLE","PINETE","4 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA DELLE PINETE"
"VIA DEI","DEI","PINI","7 - A","TUTTI","CASTELFRANCO DI SOTTO","VIA DEI PINI"
"VIA","","PINO","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  PINO"
"VIA","","PINOCCHIO","12 - A","TUTTI","SAN MINIATO","VIA  PINOCCHIO"
"VIA","","PINTOR JAIME","10 - A","TUTTI","SAN MINIATO","VIA  PINTOR JAIME"
"VIA","","PIOPPO","6 - A","20","CASTELFRANCO DI SOTTO","VIA  PIOPPO"
"VIA","","PIPPARELLI","1 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  PIPPARELLI"
"VIA","","PIRANDELLO LUIGI","5 - B","TUTTI","CASTELFRANCO DI SOTTO","VIA  PIRANDELLO LUIGI"
"VIA","","PIRANDELLO LUIGI","20 - A","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  PIRANDELLO LUIGI"
"VIA","","PIRANDELLO LUIGI","11 - A","TUTTI","SAN MINIATO","VIA  PIRANDELLO LUIGI"
"VIA","","PIRANDELLO LUIGI","1 - A","TUTTI","SANTA CROCE SULL'ARNO","VIA  PIRANDELLO LUIGI"
"VIA","","PISA","19 - B","TUTTI","MONTOPOLI IN VAL D'ARNO","VIA  PISA"
"VIA","","PISACANE CARLO","9 - A","TUTTI","SAN MINIATO","VIA  PISACANE CARLO"
"VIA","","PISACANE CARLO","3 - B","TUTTI","SANTA CROCE SULL'ARNO","VIA  PISACANE CARLO"
"VIA","","PIZZIGONI GIUSEPPINA","11 - A","TUTTI","SAN MINIATO","VIA  PIZZIGONI GIUSEPPINA"
